Дата;Значение
28.03.2016; 424,23
27.03.2016; 426,76
26.03.2016; 417,94
25.03.2016; 417,18
24.03.2016; 416,39
23.03.2016; 418,04
22.03.2016; 418,09
21.03.2016; 413,31
20.03.2016; 413,75
19.03.2016; 410,44
18.03.2016; 409,55
17.03.2016; 420,62
16.03.2016; 417,01
15.03.2016; 416,83
14.03.2016; 416,44
13.03.2016; 414,06
12.03.2016; 411,62
11.03.2016; 421,69
10.03.2016; 417,13
09.03.2016; 414,86
08.03.2016; 413,97
07.03.2016; 414,32
06.03.2016; 407,71
05.03.2016; 400,57
04.03.2016; 410,94
03.03.2016; 421,65
02.03.2016; 423,99
01.03.2016; 435,12
29.02.2016; 437,70
28.02.2016; 433,50
27.02.2016; 432,52
26.02.2016; 432,15
25.02.2016; 424,54
24.02.2016; 424,95
23.02.2016; 420,74
22.02.2016; 437,75
21.02.2016; 438,80
20.02.2016; 437,16
19.02.2016; 420,79
18.02.2016; 422,37
17.02.2016; 416,32
16.02.2016; 407,49
15.02.2016; 400,19
14.02.2016; 407,23
13.02.2016; 391,86
12.02.2016; 384,26
11.02.2016; 379,65
10.02.2016; 381,65
09.02.2016; 376,03
08.02.2016; 373,45
07.02.2016; 376,62
06.02.2016; 376,52
05.02.2016; 386,55
04.02.2016; 389,59
03.02.2016; 369,95
02.02.2016; 374,45
01.02.2016; 373,06
31.01.2016; 368,77
30.01.2016; 378,25
29.01.2016; 379,47
28.01.2016; 380,29
27.01.2016; 394,97
26.01.2016; 392,15
25.01.2016; 391,73
24.01.2016; 402,97
23.01.2016; 387,49
22.01.2016; 382,49
21.01.2016; 410,26
20.01.2016; 420,23
19.01.2016; 380,15
18.01.2016; 387,17
17.01.2016; 382,30
16.01.2016; 387,54
15.01.2016; 364,33
14.01.2016; 430,31
13.01.2016; 432,37
12.01.2016; 435,69
11.01.2016; 448,43
10.01.2016; 447,99
09.01.2016; 447,61
08.01.2016; 453,23
07.01.2016; 458,05
06.01.2016; 429,11
05.01.2016; 431,96
04.01.2016; 433,09
03.01.2016; 430,01
02.01.2016; 433,44
01.01.2016; 434,33
31.12.2015; 430,57
30.12.2015; 426,62
29.12.2015; 432,98
28.12.2015; 422,28
27.12.2015; 422,82
26.12.2015; 417,27
25.12.2015; 455,65
24.12.2015; 454,99
23.12.2015; 442,40
22.12.2015; 436,57
21.12.2015; 438,64
20.12.2015; 442,69
19.12.2015; 462,32
18.12.2015; 463,62
17.12.2015; 456,08
16.12.2015; 454,93
15.12.2015; 465,32
14.12.2015; 444,18
13.12.2015; 433,75
12.12.2015; 435,00
11.12.2015; 451,94
10.12.2015; 415,48
09.12.2015; 417,56
08.12.2015; 415,56
07.12.2015; 395,54
06.12.2015; 388,78
05.12.2015; 388,95
04.12.2015; 363,18
03.12.2015; 361,05
02.12.2015; 359,19
01.12.2015; 362,49
30.11.2015; 377,32
29.11.2015; 371,29
28.11.2015; 357,38
27.11.2015; 358,04
26.11.2015; 352,68
25.11.2015; 328,21
24.11.2015; 320,05
23.11.2015; 323,05
22.11.2015; 324,54
21.11.2015; 326,93
20.11.2015; 322,02
19.11.2015; 326,15
18.11.2015; 334,59
17.11.2015; 335,09
16.11.2015; 330,75
15.11.2015; 320,17
14.11.2015; 332,91
13.11.2015; 336,75
12.11.2015; 338,15
11.11.2015; 311,08
10.11.2015; 336,82
09.11.2015; 380,26
08.11.2015; 373,37
07.11.2015; 386,48
06.11.2015; 374,47
05.11.2015; 386,35
04.11.2015; 411,56
03.11.2015; 403,42
02.11.2015; 361,19
01.11.2015; 325,43
31.10.2015; 314,17
30.10.2015; 328,01
29.10.2015; 313,86
28.10.2015; 304,62
27.10.2015; 293,79
26.10.2015; 285,30
25.10.2015; 283,68
24.10.2015; 281,65
23.10.2015; 276,50
22.10.2015; 274,02
21.10.2015; 266,27
20.10.2015; 269,46
19.10.2015; 263,44
18.10.2015; 261,64
17.10.2015; 270,64
16.10.2015; 262,87
15.10.2015; 254,32
14.10.2015; 251,99
13.10.2015; 249,51
12.10.2015; 245,31
11.10.2015; 247,05
10.10.2015; 244,94
09.10.2015; 243,93
08.10.2015; 242,30
07.10.2015; 242,97
06.10.2015; 246,06
05.10.2015; 240,38
04.10.2015; 238,26
03.10.2015; 238,73
02.10.2015; 237,29
01.10.2015; 237,55
30.09.2015; 236,06
29.09.2015; 236,69
28.09.2015; 239,14
27.09.2015; 232,76
26.09.2015; 234,34
25.09.2015; 235,14
24.09.2015; 234,53
23.09.2015; 230,28
22.09.2015; 230,62
21.09.2015; 227,09
20.09.2015; 231,21
19.09.2015; 231,49
18.09.2015; 232,97
17.09.2015; 229,81
16.09.2015; 229,09
15.09.2015; 230,30
14.09.2015; 230,64
13.09.2015; 230,51
12.09.2015; 235,23
11.09.2015; 240,11
10.09.2015; 238,48
09.09.2015; 238,17
08.09.2015; 243,61
07.09.2015; 239,85
06.09.2015; 239,84
05.09.2015; 235,02
04.09.2015; 230,30
03.09.2015; 227,18
02.09.2015; 229,28
01.09.2015; 228,12
31.08.2015; 230,06
30.08.2015; 228,76
29.08.2015; 229,78
28.08.2015; 231,40
27.08.2015; 224,77
26.08.2015; 225,83
25.08.2015; 221,61
24.08.2015; 210,50
23.08.2015; 228,17
22.08.2015; 230,39
21.08.2015; 232,57
20.08.2015; 235,35
19.08.2015; 226,68
18.08.2015; 211,08
17.08.2015; 257,98
16.08.2015; 258,51
15.08.2015; 261,55
14.08.2015; 265,68
13.08.2015; 264,08
12.08.2015; 266,38
11.08.2015; 270,39
10.08.2015; 264,47
09.08.2015; 265,08
08.08.2015; 261,00
07.08.2015; 279,58
06.08.2015; 278,58
05.08.2015; 281,88
04.08.2015; 285,22
03.08.2015; 281,23
02.08.2015; 282,61
01.08.2015; 281,60
31.07.2015; 284,65
30.07.2015; 287,72
29.07.2015; 289,59
28.07.2015; 294,43
27.07.2015; 293,62
26.07.2015; 292,69
25.07.2015; 288,70
24.07.2015; 288,28
23.07.2015; 276,05
22.07.2015; 277,22
21.07.2015; 275,83
20.07.2015; 278,98
19.07.2015; 273,61
18.07.2015; 274,90
17.07.2015; 279,47
16.07.2015; 278,09
15.07.2015; 285,83
14.07.2015; 287,46
13.07.2015; 292,05
12.07.2015; 310,87
11.07.2015; 293,12
10.07.2015; 284,89
09.07.2015; 269,23
08.07.2015; 270,79
07.07.2015; 266,21
06.07.2015; 269,03
05.07.2015; 271,91
04.07.2015; 260,89
03.07.2015; 256,34
02.07.2015; 255,41
01.07.2015; 258,62
30.06.2015; 263,07
29.06.2015; 257,06
28.06.2015; 249,01
27.06.2015; 250,99
26.06.2015; 243,59
25.06.2015; 242,80
24.06.2015; 240,51
23.06.2015; 244,30
22.06.2015; 246,99
21.06.2015; 243,94
20.06.2015; 245,21
19.06.2015; 244,61
18.06.2015; 249,01
17.06.2015; 249,28
16.06.2015; 250,90
15.06.2015; 236,82
14.06.2015; 233,54
13.06.2015; 232,40
12.06.2015; 229,98
11.06.2015; 229,71
10.06.2015; 228,80
09.06.2015; 229,05
08.06.2015; 228,49
07.06.2015; 222,88
06.06.2015; 225,62
05.06.2015; 224,95
04.06.2015; 224,32
03.06.2015; 225,87
02.06.2015; 225,80
01.06.2015; 222,93
31.05.2015; 230,19
30.05.2015; 233,34
29.05.2015; 237,10
28.05.2015; 237,41
27.05.2015; 237,28
26.05.2015; 237,12
25.05.2015; 237,11
24.05.2015; 240,95
23.05.2015; 238,87
22.05.2015; 240,35
21.05.2015; 235,34
20.05.2015; 234,02
19.05.2015; 231,95
18.05.2015; 233,13
17.05.2015; 236,80
16.05.2015; 236,15
15.05.2015; 237,60
14.05.2015; 236,93
13.05.2015; 236,38
12.05.2015; 241,11
11.05.2015; 242,16
10.05.2015; 240,30
09.05.2015; 241,83
08.05.2015; 243,86
07.05.2015; 237,33
06.05.2015; 229,78
05.05.2015; 236,12
04.05.2015; 239,02
03.05.2015; 240,36
02.05.2015; 234,93
01.05.2015; 232,08
30.04.2015; 236,15
29.04.2015; 225,81
28.04.2015; 225,85
27.04.2015; 229,29
26.04.2015; 219,43
25.04.2015; 226,39
24.04.2015; 231,27
23.04.2015; 236,46
22.04.2015; 234,18
21.04.2015; 235,27
20.04.2015; 224,63
19.04.2015; 222,60
18.04.2015; 223,36
17.04.2015; 222,88
16.04.2015; 228,57
15.04.2015; 223,83
14.04.2015; 219,16
13.04.2015; 224,59
12.04.2015; 236,15
11.04.2015; 236,55
10.04.2015; 236,07
09.04.2015; 243,68
08.04.2015; 245,02
07.04.2015; 253,18
06.04.2015; 255,49
05.04.2015; 260,60
04.04.2015; 253,70
03.04.2015; 254,32
02.04.2015; 253,00
01.04.2015; 247,27
31.03.2015; 244,22
30.03.2015; 247,53
29.03.2015; 242,71
28.03.2015; 252,80
27.03.2015; 247,03
26.03.2015; 248,53
25.03.2015; 246,20
24.03.2015; 245,59
23.03.2015; 266,74
22.03.2015; 267,96
21.03.2015; 260,02
20.03.2015; 261,75
19.03.2015; 260,93
18.03.2015; 256,30
17.03.2015; 285,50
16.03.2015; 290,59
15.03.2015; 286,39
14.03.2015; 281,88
13.03.2015; 285,34
12.03.2015; 294,35
11.03.2015; 296,38
10.03.2015; 291,76
09.03.2015; 289,61
08.03.2015; 274,35
07.03.2015; 276,26
06.03.2015; 272,72
05.03.2015; 276,18
04.03.2015; 273,09
03.03.2015; 281,70
02.03.2015; 275,67
01.03.2015; 260,20
28.02.2015; 254,26
27.02.2015; 253,83
26.02.2015; 236,43
25.02.2015; 237,47
24.02.2015; 238,74
23.02.2015; 238,89
22.02.2015; 235,98
21.02.2015; 244,53
20.02.2015; 243,78
19.02.2015; 240,28
18.02.2015; 236,33
17.02.2015; 243,61
16.02.2015; 233,84
15.02.2015; 234,82
14.02.2015; 257,32
13.02.2015; 235,43
12.02.2015; 221,76
11.02.2015; 219,19
10.02.2015; 219,84
09.02.2015; 220,11
08.02.2015; 223,41
07.02.2015; 227,75
06.02.2015; 222,27
05.02.2015; 217,11
04.02.2015; 226,85
03.02.2015; 227,27
02.02.2015; 238,23
01.02.2015; 226,97
31.01.2015; 217,46
30.01.2015; 226,43
29.01.2015; 233,51
28.01.2015; 233,91
27.01.2015; 263,48
26.01.2015; 273,47
25.01.2015; 253,72
24.01.2015; 247,85
23.01.2015; 232,88
22.01.2015; 233,41
21.01.2015; 226,90
20.01.2015; 211,31
19.01.2015; 214,86
18.01.2015; 210,34
17.01.2015; 199,26
16.01.2015; 208,10
15.01.2015; 209,84
14.01.2015; 178,10
13.01.2015; 225,86
12.01.2015; 267,80
11.01.2015; 265,66
10.01.2015; 274,80
09.01.2015; 290,41
08.01.2015; 283,35
07.01.2015; 294,34
06.01.2015; 286,19
05.01.2015; 274,47
04.01.2015; 264,19
03.01.2015; 281,08
02.01.2015; 315,03
01.01.2015; 314,25
31.12.2014; 316,77
30.12.2014; 308,50
29.12.2014; 311,34
28.12.2014; 313,77
27.12.2014; 313,00
26.12.2014; 324,96
25.12.2014; 316,52
24.12.2014; 319,01
23.12.2014; 330,00
22.12.2014; 328,70
21.12.2014; 317,00
20.12.2014; 328,00
19.12.2014; 314,99
18.12.2014; 311,31
17.12.2014; 319,00
16.12.2014; 320,41
15.12.2014; 338,45
14.12.2014; 343,06
13.12.2014; 342,57
12.12.2014; 346,00
11.12.2014; 341,49
10.12.2014; 340,00
09.12.2014; 345,92
08.12.2014; 356,99
07.12.2014; 367,57
06.12.2014; 369,13
05.12.2014; 369,99
04.12.2014; 364,00
03.12.2014; 370,12
02.12.2014; 377,50
01.12.2014; 376,55
30.11.2014; 374,39
29.11.2014; 373,99
28.11.2014; 373,00
27.11.2014; 366,02
26.11.2014; 364,23
25.11.2014; 371,20
24.11.2014; 373,50
23.11.2014; 364,98
22.11.2014; 350,00
21.11.2014; 345,36
20.11.2014; 355,37
19.11.2014; 376,60
18.11.2014; 369,99
17.11.2014; 382,03
16.11.2014; 384,14
15.11.2014; 373,57
14.11.2014; 396,35
13.11.2014; 413,15
12.11.2014; 421,00
11.11.2014; 364,00
10.11.2014; 363,02
09.11.2014; 362,10
08.11.2014; 341,37
07.11.2014; 338,72
06.11.2014; 344,00
05.11.2014; 334,89
04.11.2014; 325,50
03.11.2014; 322,00
02.11.2014; 323,51
01.11.2014; 323,14
31.10.2014; 335,07
30.10.2014; 342,69
29.10.2014; 331,08
28.10.2014; 349,87
27.10.2014; 347,87
26.10.2014; 350,24
25.10.2014; 347,37
24.10.2014; 352,10
23.10.2014; 354,17
22.10.2014; 377,07
21.10.2014; 381,00
20.10.2014; 377,07
19.10.2014; 384,98
18.10.2014; 385,94
17.10.2014; 378,40
16.10.2014; 376,08
15.10.2014; 387,04
14.10.2014; 397,39
13.10.2014; 385,00
12.10.2014; 375,00
11.10.2014; 355,01
10.10.2014; 353,58
09.10.2014; 360,97
08.10.2014; 352,00
07.10.2014; 330,00
06.10.2014; 325,00
05.10.2014; 315,88
04.10.2014; 316,75
03.10.2014; 342,58
02.10.2014; 366,31
01.10.2014; 374,70
30.09.2014; 382,97
29.09.2014; 368,82
28.09.2014; 370,00
27.09.2014; 391,00
26.09.2014; 395,00
25.09.2014; 404,00
24.09.2014; 410,55
23.09.2014; 425,31
22.09.2014; 386,96
21.09.2014; 385,12
20.09.2014; 401,00
19.09.2014; 382,58
18.09.2014; 415,45
17.09.2014; 447,93
16.09.2014; 456,89
15.09.2014; 465,46
14.09.2014; 469,68
13.09.2014; 472,98
12.09.2014; 469,50
11.09.2014; 472,79
10.09.2014; 473,74
09.09.2014; 466,90
08.09.2014; 472,00
07.09.2014; 477,91
06.09.2014; 482,17
05.09.2014; 477,89
04.09.2014; 488,97
03.09.2014; 470,01
02.09.2014; 473,98
01.09.2014; 472,66
31.08.2014; 475,90
30.08.2014; 497,20
29.08.2014; 503,50
28.08.2014; 502,65
27.08.2014; 508,26
26.08.2014; 509,94
25.08.2014; 498,22
24.08.2014; 505,01
23.08.2014; 492,99
22.08.2014; 510,00
21.08.2014; 507,82
20.08.2014; 506,72
19.08.2014; 480,00
18.08.2014; 440,05
17.08.2014; 487,00
16.08.2014; 514,59
15.08.2014; 494,46
14.08.2014; 506,78
13.08.2014; 537,29
12.08.2014; 565,83
11.08.2014; 572,00
10.08.2014; 586,10
09.08.2014; 585,16
08.08.2014; 587,60
07.08.2014; 584,23
06.08.2014; 579,16
05.08.2014; 579,69
04.08.2014; 580,04
03.08.2014; 579,55
02.08.2014; 581,89
01.08.2014; 591,00
31.07.2014; 577,68
30.07.2014; 564,83
29.07.2014; 577,83
28.07.2014; 577,63
27.07.2014; 586,49
26.07.2014; 590,00
25.07.2014; 596,68
24.07.2014; 593,03
23.07.2014; 610,86
22.07.2014; 613,53
21.07.2014; 614,99
20.07.2014; 616,00
19.07.2014; 619,80
18.07.2014; 620,39
17.07.2014; 617,00
16.07.2014; 611,23
15.07.2014; 614,67
14.07.2014; 618,51
13.07.2014; 623,00
12.07.2014; 627,00
11.07.2014; 623,01
10.07.2014; 609,66
09.07.2014; 615,78
08.07.2014; 615,78
07.07.2014; 617,58
06.07.2014; 630,31
05.07.2014; 627,99
04.07.2014; 626,24
03.07.2014; 636,92
02.07.2014; 641,11
01.07.2014; 629,00
30.06.2014; 638,15
29.06.2014; 595,00
28.06.2014; 588,25
27.06.2014; 598,23
26.06.2014; 576,82
25.06.2014; 560,64
24.06.2014; 569,58
23.06.2014; 584,99
22.06.2014; 593,79
21.06.2014; 586,67
20.06.2014; 585,00
19.06.2014; 588,00
18.06.2014; 599,49
17.06.2014; 602,33
16.06.2014; 585,62
15.06.2014; 592,00
14.06.2014; 571,13
13.06.2014; 597,01
12.06.2014; 576,00
11.06.2014; 623,29
10.06.2014; 644,10
09.06.2014; 639,24
08.06.2014; 644,54
07.06.2014; 644,86
06.06.2014; 639,42
05.06.2014; 649,00
04.06.2014; 627,05
03.06.2014; 657,01
02.06.2014; 647,89
01.06.2014; 628,53
31.05.2014; 615,00
30.05.2014; 608,00
29.05.2014; 557,22
28.05.2014; 564,21
27.05.2014; 561,50
26.05.2014; 576,00
25.05.2014; 564,01
24.05.2014; 519,51
23.05.2014; 511,99
22.05.2014; 521,94
21.05.2014; 480,00
20.05.2014; 477,90
19.05.2014; 437,85
18.05.2014; 439,43
17.05.2014; 440,95
16.05.2014; 438,89
15.05.2014; 439,80
14.05.2014; 435,70
13.05.2014; 433,36
12.05.2014; 433,95
11.05.2014; 434,81
10.05.2014; 445,12
09.05.2014; 442,00
08.05.2014; 429,04
07.05.2014; 428,24
06.05.2014; 421,00
05.05.2014; 425,76
04.05.2014; 428,89
03.05.2014; 433,63
02.05.2014; 436,00
01.05.2014; 448,99
30.04.2014; 438,38
29.04.2014; 438,88
28.04.2014; 429,52
27.04.2014; 425,36
26.04.2014; 447,82
25.04.2014; 450,77
24.04.2014; 492,67
23.04.2014; 479,90
22.04.2014; 473,00
21.04.2014; 483,65
20.04.2014; 489,53
19.04.2014; 494,94
18.04.2014; 472,50
17.04.2014; 487,00
16.04.2014; 527,00
15.04.2014; 518,00
14.04.2014; 454,42
13.04.2014; 412,00
12.04.2014; 415,87
11.04.2014; 416,52
10.04.2014; 356,95
09.04.2014; 436,69
08.04.2014; 445,72
07.04.2014; 444,00
06.04.2014; 463,06
05.04.2014; 467,78
04.04.2014; 446,30
03.04.2014; 444,00
02.04.2014; 435,00
01.04.2014; 479,90
31.03.2014; 462,09
30.03.2014; 467,63
29.03.2014; 496,49
28.03.2014; 503,93
27.03.2014; 484,99
26.03.2014; 579,50
25.03.2014; 579,00
24.03.2014; 588,71
23.03.2014; 568,00
22.03.2014; 567,10
21.03.2014; 572,94
20.03.2014; 589,00
19.03.2014; 606,10
18.03.2014; 614,00
17.03.2014; 617,43
16.03.2014; 624,89
15.03.2014; 629,02
14.03.2014; 622,09
13.03.2014; 629,75
12.03.2014; 628,45
11.03.2014; 626,00
10.03.2014; 622,60
09.03.2014; 627,00
08.03.2014; 609,97
07.03.2014; 619,72
06.03.2014; 648,00
05.03.2014; 653,15
04.03.2014; 656,56
03.03.2014; 644,03
02.03.2014; 554,00
01.03.2014; 562,30
28.02.2014; 536,30
27.02.2014; 569,88
26.02.2014; 568,00
25.02.2014; 535,00
24.02.2014; 555,76
23.02.2014; 598,00
22.02.2014; 597,56
21.02.2014; 555,50
20.02.2014; 542,00
19.02.2014; 611,00
18.02.2014; 615,00
17.02.2014; 613,44
16.02.2014; 599,00
15.02.2014; 637,13
14.02.2014; 643,62
13.02.2014; 591,39
12.02.2014; 643,52
11.02.2014; 664,67
10.02.2014; 671,00
09.02.2014; 697,50
08.02.2014; 695,99
07.02.2014; 709,97
06.02.2014; 764,86
05.02.2014; 784,75
04.02.2014; 800,53
03.02.2014; 798,90
02.02.2014; 799,90
01.02.2014; 800,00
31.01.2014; 797,00
30.01.2014; 795,00
29.01.2014; 790,09
28.01.2014; 774,90
27.01.2014; 748,90
26.01.2014; 817,80
25.01.2014; 806,25
24.01.2014; 774,98
23.01.2014; 809,29
22.01.2014; 822,00
21.01.2014; 831,55
20.01.2014; 829,00
19.01.2014; 839,00
18.01.2014; 817,50
17.01.2014; 795,00
16.01.2014; 813,38
15.01.2014; 838,00
14.01.2014; 819,47
13.01.2014; 824,83
12.01.2014; 835,49
11.01.2014; 890,38
10.01.2014; 841,00
09.01.2014; 821,70
08.01.2014; 821,17
07.01.2014; 757,11
06.01.2014; 925,00
05.01.2014; 904,00
04.01.2014; 823,50
03.01.2014; 800,00
02.01.2014; 782,00
01.01.2014; 744,00
31.12.2013; 730,50
30.12.2013; 729,00
29.12.2013; 720,02
28.12.2013; 711,83
27.12.2013; 715,01
26.12.2013; 743,30
25.12.2013; 674,96
24.12.2013; 650,33
23.12.2013; 650,22
22.12.2013; 604,20
21.12.2013; 591,17
20.12.2013; 609,00
19.12.2013; 681,00
18.12.2013; 502,70
17.12.2013; 660,10
16.12.2013; 690,00
15.12.2013; 863,64
14.12.2013; 846,92
13.12.2013; 869,00
12.12.2013; 860,00
11.12.2013; 855,50
10.12.2013; 958,50
09.12.2013; 878,50
08.12.2013; 784,02
07.12.2013; 700,00
06.12.2013; 839,00
05.12.2013; 990,40
04.12.2013;1 076,00
03.12.2013; 997,50
02.12.2013; 980,00
01.12.2013; 878,17
30.11.2013;1 051,55
29.11.2013;1 023,71
28.11.2013; 962,03
27.11.2013; 934,00
26.11.2013; 890,00
25.11.2013; 744,00
24.11.2013; 699,00
23.11.2013; 724,20
22.11.2013; 699,00
21.11.2013; 673,55
20.11.2013; 545,00
19.11.2013; 545,15
18.11.2013; 679,45
17.11.2013; 480,60
16.11.2013; 420,49
15.11.2013; 406,99
14.11.2013; 406,01
13.11.2013; 392,44
12.11.2013; 343,90
11.11.2013; 321,32
10.11.2013; 302,00
09.11.2013; 331,30
08.11.2013; 313,12
07.11.2013; 281,81
06.11.2013; 251,00
05.11.2013; 237,18
04.11.2013; 223,77
03.11.2013; 208,90
02.11.2013; 198,85
01.11.2013; 198,99
31.10.2013; 197,90
30.10.2013; 193,30
29.10.2013; 198,00
28.10.2013; 189,00
27.10.2013; 186,99
26.10.2013; 170,97
25.10.2013; 178,86
24.10.2013; 184,00
23.10.2013; 198,55
22.10.2013; 184,60
21.10.2013; 171,36
20.10.2013; 158,77
19.10.2013; 156,80
18.10.2013; 147,49
17.10.2013; 140,68
16.10.2013; 134,45
15.10.2013; 137,98
14.10.2013; 131,57
13.10.2013; 128,66
12.10.2013; 124,58
11.10.2013; 124,19
10.10.2013; 123,64
09.10.2013; 123,86
08.10.2013; 121,99
07.10.2013; 121,20
06.10.2013; 119,61
05.10.2013; 119,32
04.10.2013; 118,83
03.10.2013; 115,20
02.10.2013; 101,14
01.10.2013; 123,75
30.09.2013; 123,00
29.09.2013; 123,05
28.09.2013; 123,60
27.09.2013; 122,74
26.09.2013; 122,75
25.09.2013; 122,55
24.09.2013; 121,73
23.09.2013; 120,89
22.09.2013; 121,70
21.09.2013; 121,10
20.09.2013; 121,12
19.09.2013; 120,75
18.09.2013; 125,09
17.09.2013; 124,50
16.09.2013; 124,00
15.09.2013; 123,60
14.09.2013; 123,14
13.09.2013; 124,75
12.09.2013; 123,39
11.09.2013; 124,00
10.09.2013; 120,00
09.09.2013; 119,92
08.09.2013; 115,44
07.09.2013; 117,03
06.09.2013; 113,00
05.09.2013; 117,00
04.09.2013; 116,49
03.09.2013; 125,00
02.09.2013; 124,77
01.09.2013; 126,40
31.08.2013; 122,90
30.08.2013; 120,72
29.08.2013; 115,97
28.08.2013; 115,20
27.08.2013; 115,36
26.08.2013; 108,39
25.08.2013; 109,30
24.08.2013; 106,36
23.08.2013; 105,25
22.08.2013; 106,91
21.08.2013; 107,12
20.08.2013; 103,10
19.08.2013; 99,10
18.08.2013; 96,85
17.08.2013; 96,96
16.08.2013; 96,79
15.08.2013; 96,30
14.08.2013; 97,61
13.08.2013; 94,98
12.08.2013; 94,84
11.08.2013; 93,14
10.08.2013; 92,94
09.08.2013; 93,82
08.08.2013; 94,38
07.08.2013; 97,46
06.08.2013; 97,32
05.08.2013; 96,46
04.08.2013; 94,36
03.08.2013; 94,74
02.08.2013; 96,00
01.08.2013; 94,75
31.07.2013; 97,00
30.07.2013; 95,00
29.07.2013; 91,20
28.07.2013; 89,50
27.07.2013; 87,60
26.07.2013; 89,50
25.07.2013; 88,89
24.07.2013; 86,87
23.07.2013; 85,98
22.07.2013; 84,40
21.07.2013; 83,80
20.07.2013; 83,95
19.07.2013; 83,80
18.07.2013; 83,47
17.07.2013; 89,00
16.07.2013; 88,55
15.07.2013; 91,30
14.07.2013; 87,90
13.07.2013; 88,99
12.07.2013; 87,00
11.07.2013; 82,50
10.07.2013; 80,19
09.07.2013; 72,25
08.07.2013; 73,10
07.07.2013; 74,00
06.07.2013; 65,50
05.07.2013; 66,40
04.07.2013; 79,28
03.07.2013; 77,45
02.07.2013; 85,40
01.07.2013; 81,01
30.06.2013; 90,21
29.06.2013; 89,60
28.06.2013; 88,99
27.06.2013; 95,20
26.06.2013; 98,00
25.06.2013; 98,00
24.06.2013; 96,23
23.06.2013; 101,16
22.06.2013; 101,71
21.06.2013; 105,63
20.06.2013; 106,42
19.06.2013; 105,22
18.06.2013; 104,90
17.06.2013; 101,36
16.06.2013; 100,20
15.06.2013; 100,51
14.06.2013; 100,00
13.06.2013; 105,50
12.06.2013; 107,60
11.06.2013; 108,00
10.06.2013; 105,12
09.06.2013; 102,50
08.06.2013; 109,37
07.06.2013; 111,80
06.06.2013; 118,28
05.06.2013; 120,49
04.06.2013; 119,70
03.06.2013; 119,67
02.06.2013; 120,80
01.06.2013; 127,47
31.05.2013; 126,35
30.05.2013; 126,50
29.05.2013; 127,66
28.05.2013; 125,20
27.05.2013; 127,15
26.05.2013; 129,56
25.05.2013; 127,44
24.05.2013; 128,21
23.05.2013; 120,69
22.05.2013; 116,70
21.05.2013; 116,87
20.05.2013; 113,70
19.05.2013; 112,16
18.05.2013; 113,63
17.05.2013; 112,08
16.05.2013; 109,00
15.05.2013; 104,99
14.05.2013; 104,15
13.05.2013; 113,20
12.05.2013; 111,28
11.05.2013; 112,19
10.05.2013; 112,99
09.05.2013; 108,07
08.05.2013; 109,25
07.05.2013; 109,95
06.05.2013; 111,00
05.05.2013; 115,01
04.05.2013; 111,49
03.05.2013; 98,59
02.05.2013; 106,80
01.05.2013; 116,08
30.04.2013; 133,83
29.04.2013; 135,20
28.04.2013; 125,98
27.04.2013; 122,63
26.04.2013; 130,00
25.04.2013; 135,89
24.04.2013; 143,50
23.04.2013; 126,10
22.04.2013; 115,50
21.04.2013; 112,00
20.04.2013; 116,59
19.04.2013; 112,40
18.04.2013; 101,99
17.04.2013; 87,37
16.04.2013; 67,57
15.04.2013; 82,51
14.04.2013; 91,70
13.04.2013; 91,98
12.04.2013; 104,89
11.04.2013; 80,00
10.04.2013; 161,00
09.04.2013; 215,26
08.04.2013; 175,52
07.04.2013; 151,16
06.04.2013; 134,01
05.04.2013; 134,21
04.04.2013; 123,12
03.04.2013; 124,00
02.04.2013; 116,00
01.04.2013; 99,50
31.03.2013; 90,30
30.03.2013; 87,81
29.03.2013; 87,10
28.03.2013; 87,20
27.03.2013; 84,22
26.03.2013; 73,51
25.03.2013; 70,30
24.03.2013; 68,00
23.03.2013; 61,53
22.03.2013; 65,50
21.03.2013; 66,00
20.03.2013; 61,50
19.03.2013; 54,35
18.03.2013; 48,62
17.03.2013; 43,89
16.03.2013; 44,32
15.03.2013; 43,89
14.03.2013; 43,30
13.03.2013; 43,35
12.03.2013; 42,23
11.03.2013; 45,94
10.03.2013; 44,34
09.03.2013; 44,48
08.03.2013; 41,61
07.03.2013; 40,98
06.03.2013; 39,00
05.03.2013; 38,96
04.03.2013; 34,60
03.03.2013; 32,10
02.03.2013; 32,93
01.03.2013; 33,50
28.02.2013; 32,44
27.02.2013; 30,30
26.02.2013; 29,30
25.02.2013; 29,00
24.02.2013; 28,56
23.02.2013; 29,00
22.02.2013; 29,00
21.02.2013; 29,40
20.02.2013; 29,17
19.02.2013; 28,84
18.02.2013; 26,55
17.02.2013; 26,49
16.02.2013; 26,60
15.02.2013; 26,49
14.02.2013; 26,30
13.02.2013; 24,10
12.02.2013; 24,19
11.02.2013; 24,24
10.02.2013; 23,22
09.02.2013; 23,25
08.02.2013; 22,30
07.02.2013; 21,69
06.02.2013; 20,75
05.02.2013; 20,12
04.02.2013; 20,11
03.02.2013; 20,41
02.02.2013; 19,70
01.02.2013; 20,48
31.01.2013; 20,09
30.01.2013; 19,10
29.01.2013; 18,85
28.01.2013; 18,16
27.01.2013; 17,30
26.01.2013; 17,25
25.01.2013; 17,00
24.01.2013; 16,69
23.01.2013; 17,10
22.01.2013; 17,13
21.01.2013; 16,20
20.01.2013; 15,38
19.01.2013; 15,29
