Дата;Значение
01.01.2021;29 264,67
31.12.2020;28 961,54
30.12.2020;28 914,70
29.12.2020;26 898,76
28.12.2020;26 740,01
27.12.2020;26 366,63
26.12.2020;26 260,90
25.12.2020;24 443,28
24.12.2020;23 431,41
23.12.2020;23 487,66
22.12.2020;23 394,79
21.12.2020;22 850,53
20.12.2020;24 161,65
19.12.2020;23 874,47
18.12.2020;22 734,35
17.12.2020;22 452,52
16.12.2020;20 802,07
15.12.2020;19 520,37
14.12.2020;19 152,85
13.12.2020;19 143,97
12.12.2020;18 749,08
11.12.2020;17 968,36
10.12.2020;18 381,61
09.12.2020;18 298,67
08.12.2020;18 743,09
07.12.2020;19 032,73
06.12.2020;19 186,73
05.12.2020;19 087,21
04.12.2020;18 958,88
03.12.2020;19 342,80
02.12.2020;19 113,36
01.12.2020;18 942,19
30.11.2020;19 375,16
29.11.2020;18 185,56
28.11.2020;17 790,56
27.11.2020;17 119,25
26.11.2020;16 956,94
25.11.2020;18 834,53
24.11.2020;19 015,44
23.11.2020;18 359,64
22.11.2020;18 521,15
21.11.2020;18 614,76
20.11.2020;18 649,24
19.11.2020;17 959,28
18.11.2020;17 614,95
17.11.2020;17 646,10
16.11.2020;16 763,39
15.11.2020;15 856,73
14.11.2020;15 962,08
13.11.2020;16 190,28
12.11.2020;16 096,26
11.11.2020;15 692,02
10.11.2020;15 319,88
09.11.2020;15 448,51
08.11.2020;15 396,20
07.11.2020;14 836,46
06.11.2020;15 466,48
05.11.2020;15 091,65
04.11.2020;14 038,74
03.11.2020;13 731,21
02.11.2020;13 550,49
01.11.2020;13 737,11
31.10.2020;13 780,99
30.10.2020;13 546,52
29.10.2020;13 437,88
28.10.2020;13 271,29
27.10.2020;13 654,22
26.10.2020;13 075,25
25.10.2020;13 031,17
24.10.2020;13 108,06
23.10.2020;12 931,54
22.10.2020;12 965,89
21.10.2020;12 823,69
20.10.2020;11 916,34
19.10.2020;11 742,04
18.10.2020;11 483,36
17.10.2020;11 358,10
16.10.2020;11 322,12
15.10.2020;11 495,35
14.10.2020;11 429,51
13.10.2020;11 425,90
12.10.2020;11 555,36
11.10.2020;11 384,18
10.10.2020;11 296,36
09.10.2020;11 052,05
08.10.2020;10 923,63
07.10.2020;10 679,14
06.10.2020;10 546,10
05.10.2020;10 804,00
04.10.2020;10 661,05
03.10.2020;10 565,49
02.10.2020;10 555,82
01.10.2020;10 623,33
30.09.2020;10 787,62
29.09.2020;10 848,83
28.09.2020;10 721,33
27.09.2020;10 774,43
26.09.2020;10 724,98
25.09.2020;10 702,29
24.09.2020;10 745,55
23.09.2020;10 225,86
22.09.2020;10 538,46
21.09.2020;10 462,26
20.09.2020;10 938,27
19.09.2020;11 094,35
18.09.2020;10 944,59
17.09.2020;10 948,99
16.09.2020;10 974,90
15.09.2020;10 796,95
14.09.2020;10 680,84
13.09.2020;10 323,76
12.09.2020;10 442,17
11.09.2020;10 400,91
10.09.2020;10 319,06
09.09.2020;10 242,35
08.09.2020;10 131,52
07.09.2020;10 369,56
06.09.2020;10 280,35
05.09.2020;10 169,57
04.09.2020;10 511,81
